"","Date","MaxTemp","MinTemp"
"1","08/16/2022",79.16,54.14
"2","08/17/2022",80.6,50.9
"3","08/18/2022",82.4,53.78
"4","08/19/2022",79.34,65.3
"5","08/20/2022",74.66,63.68
"6","08/21/2022",77.18,62.78
"7","08/22/2022",79.88,55.22
"8","08/23/2022",74.12,59.36
